4
0 1 2
jsmith@LA.cnn.com
SMITH@bookStore.Peru
%%
6
0
n d q s
(0 0 1)
(0 1 2)
(0 2 5)
(0 3 0)
(1 0 2)
(1 1 3)
(1 2 5)
(1 3 1)
(2 0 3)
(2 1 4)
(2 2 5)
(2 3 2)
(3 0 4)
(3 1 5)
(3 2 5)
(3 3 3)
(4 0 5)
(4 1 5)
(4 2 5)
(4 3 4)
(5 0 5)
(5 1 5)
(5 2 5)
(5 3 0)
s
sds
nnns
ddd
ddds
qqsqs
sdsnsnsns
sdqsd
ndnqdqndqn
ssnqdss
%%
6
2
a b
(0 0 1)
(0 1 2)
(1 0 0)
(1 1 3)
(2 0 3)
(2 1 4)
(3 0 2)
(3 1 5)
(4 0 5)
(4 1 0)
(5 0 4)
(5 1 1)

aa
baa
aba
aabb
babababab
aabbaabb
aaababbaa
abbbbaa
bbbbbbb
%%
8
5 7
0 1 2 3 4 5 6 7 8 9 . + -
(0 0 2)
(0 1 3)
(0 2 3)
(0 3 3)
(0 4 3)
(0 5 3)
(0 6 3)
(0 7 3)
(0 8 3)
(0 9 3)
(0 10 4)
(0 11 1)
(0 12 1)
(1 0 2)
(1 1 3)
(1 2 3)
(1 3 3)
(1 4 3)
(1 5 3)
(1 6 3)
(1 7 3)
(1 8 3)
(1 9 3)
(1 10 4)
(1 11 8)
(1 12 8)
(2 0 8)
(2 1 8)
(2 2 8)
(2 3 8)
(2 4 8)
(2 5 8)
(2 6 8)
(2 8 8)
(2 8 8)
(2 9 8)
(2 10 4)
(2 11 8)
(2 12 8)
(3 0 3)
(3 1 3)
(3 2 3)
(3 3 3)
(3 4 3)
(3 5 3)
(3 6 3)
(3 8 3)
(3 8 3)
(3 9 3)
(3 10 7)
(3 11 8)
(6 12 8)
(4 0 5)
(4 1 5)
(4 2 5)
(4 3 5)
(4 4 5)
(4 5 5)
(4 6 5)
(4 8 5)
(4 8 5)
(4 9 5)
(4 10 8)
(4 11 8)
(4 12 8)
(5 0 6)
(5 1 5)
(5 2 5)
(5 3 5)
(5 4 5)
(5 5 5)
(5 6 5)
(5 8 5)
(5 8 5)
(5 9 5)
(5 10 8)
(5 11 8)
(5 12 8)
(6 0 6)
(6 1 5)
(6 2 5)
(6 3 5)
(6 4 5)
(6 5 5)
(6 6 5)
(6 8 5)
(6 8 5)
(6 9 5)
(6 10 8)
(6 11 8)
(6 12 8)
(7 0 5)
(7 1 5)
(7 2 5)
(7 3 5)
(7 4 5)
(7 5 5)
(7 6 5)
(7 8 5)
(7 8 5)
(7 9 5)
(7 10 8)
(7 11 8)
(7 12 8)
+1.23
-.123
123.
-0.0
01234.5
-789
.
56.30
+120.0001
123000.0
%%
